layer_id,lat,lon,name,plant_code,county,technology,capacity,sector,inr,fuel,mw,zone,poi,entity,funnel_stage,group,under_construction,commissioned,capacity_mw,operator,voltage,osm_id,depth_ft,use,aquifer,project,manu,model,cap_kw,year,coords_source
tax_abatements,30.727000,-102.666594,"CoreWeave, LLC",,Pecos,renewable,,,,,,,https://www.co.pecos.tx.us/commissioners-court-regular-session-agenda-1122026/,,abatement|renewable|load:CoreWeave,Permits,,2026-01-12,,"CoreWeave, LLC",,,,,,Longfellow Renewable Energy Reinvestment Zone,,,,2026,commissioner_court
tax_abatements,30.727000,-102.666594,"Silver Basin Digital, LLC",,Pecos,abatement_other,,,,,,,https://www.co.pecos.tx.us/regular_session_agenda-20251208/,,abatement,Permits,,2025-12-08,,"Silver Basin Digital, LLC",,,,,,,,,,2025,commissioner_court
tax_abatements,30.727000,-102.666594,"Greasewood II BESS, LLC",,Pecos,renewable,,,,,,,https://www.co.pecos.tx.us/regular_session_agenda-20251208/,,abatement|renewable,Permits,,2025-12-08,,"Greasewood II BESS, LLC",,,,,,Greasewood Reinvestment Zone,,,,2025,commissioner_court
tax_abatements,30.727000,-102.666594,Poolside Inc,,Pecos,renewable,,,,,,,https://www.co.pecos.tx.us/regular_session_agenda-20251110/,,abatement|renewable|load:Poolside,Permits,,2025-11-10,,Poolside Inc,,,,,,Longfellow Renewable Energy Reinvestment Zone,,,,2025,commissioner_court
tax_abatements,30.727000,-102.666594,"Bighorn Ridge Solar, LLC",,Pecos,renewable,,,,,,,https://www.co.pecos.tx.us/regular_session_agenda-20251027/,,abatement|renewable,Permits,,2025-10-27,,"Bighorn Ridge Solar, LLC",,,,,,Selenite Springs Reinvestment Zone,,,,2025,commissioner_court
tax_abatements,30.727000,-102.666594,Longfellow Renewable Energy Reinvestment Zone,,Pecos,reinvestment_zone_creation,,,,,,,,,zone_creation,Permits,,2025-01-13,,,,,,,,Longfellow Renewable Energy Reinvestment Zone,,,,2025,commissioner_court
tax_abatements,31.381500,-103.645106,Pecos Power Plant LLC,,Reeves,natural_gas,175,,,,226,,,,abatement|gas|capex:150-200M,Permits,,2025-06-13,,Pecos Power Plant LLC,,,,,,Enterprise Zone §312.2011,,,,2025,commissioner_court
tax_abatements,30.727000,-102.666594,Apex Clean Energy,,Pecos,donation,,,,,,,,,relationship_signal,Permits,,2025-11-10,,Apex Clean Energy,,,,,,,,,,2025,commissioner_court
tax_abatements,30.727000,-102.666594,Matterhorn Express Pipeline LLC,,Pecos,natural_gas,50,,,,,,https://www.co.pecos.tx.us/20220725-30-day-notice/,,abatement|gas|midstream|capex:50M,Permits,,2022-07-25,,Matterhorn Express Pipeline LLC,,,,,,Whistler Waha Reinvestment Zone,,,,2022,commissioner_court
